PropertyID,CountyName,DwellingTypeDescr,Year_of_Construction,TypeofRating,EnergyRating,BerRating,TotalFloorArea,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,WallArea,RoofArea,FloorArea,WindowArea,DoorArea,NoStoreys,CO2Rating,MainSpaceHeatingFuel,MainWaterHeatingFuel,HSMainSystemEfficiency,MultiDwellingMPRN,HSSupplSystemEff,WHMainSystemEff,GroundFloorUValue,SolarHotWaterHeating,InsulationType,InsulationThickness,GroundFloorArea,GroundFloorHeight,FirstFloorArea,FirstFloorHeight,SecondFloorArea,SecondFloorHeight,ThirdFloorArea,ThirdFloorHeight,RoomInRoofArea,PurposeOfRating,DateOfAssessment
1164355,Leitrim,Semi-detached house,2000,Existing   ,E2,363.05,84.05,0.3,0.13,0.41,3.1,3.05,66.7,84.05,84.05,9.44,3.84,1,116.06,Solid Multi-Fuel,Solid Multi-Fuel,45,NO,30,45,0,NO ,Factory Insulated ,20,84.05,2.42,0,0,0,0,0,0,0,Grant Support,04/07/2014
1096887,Leitrim,Detached house,1900,Existing   ,F,448.67,145.48,2.1,2.3,0.94,3.99,3,151.62,105.06,75.04,12.3,3.58,2,113.5,Heating Oil ,Heating Oil ,85.7,NO,65,85.7,0,,,,75.04,2.25,70.44,2.42,0,0,0,0,0,Sale,04/05/2022
1100143,Leitrim,Mid-terrace house,1956,Existing   ,G,477.29,58,2.1,0.63,0.65,2.74,3,37.8,31.88,31.88,8.72,3.17,2,99.25,Electricity ,Electricity,100,NO,50,100,0,,,,31.88,2.34,26.12,2.65,0,0,0,0,0,Sale,04/06/2022
1088350,Leitrim,Semi-detached house,2004,Existing   ,A3,58.27,156.251,0.55,0.21,0.41,1.01,3,102.21,87.46,85.51,26.28,3.67,2,12.99,Electricity ,Electricity,446.38,NO,60,287.87,0,,,,85.51,2.69,70.741,2.64,0,0,0,0,0,Grant Support,05/12/2021
1165959,Leitrim,Semi-detached house,2020,Final  ,A3,50.41,87.6,0.2,0.1,0.17,1.05,1.2,85.66,44.86,44.86,10.29,1.9,2,9.91,Electricity ,Electricity,479.35,NO,0,242.92,0,,,,44.86,2.5,42.74,2.69,0,0,0,0,0,Social housing letting,05/05/2021
1118089,Leitrim,End of terrace house,2005,Existing   ,B1,81.87,88.536,0.37,0.13,0.34,2.2,3,83.35,44.27,44.27,14.54,3.22,2,17.95,Electricity ,Electricity,341.24,NO,60,325.83,0,,,,44.268,2.46,44.268,2.7,0,0,0,0,0,Grant Support,05/12/2022
1118090,Leitrim,Mid-terrace house,2005,Existing   ,B1,79.64,71.064,0.37,0.13,0.31,2.2,3,33.55,35.53,35.53,10.3,2.53,2,17.11,Electricity ,Electricity,349.31,NO,60,325.83,0,,,,35.532,2.46,35.532,2.7,0,0,0,0,0,Grant Support,05/12/2022
1118091,Leitrim,End of terrace house,2005,Existing   ,B1,79.85,88.536,0.37,0.13,0.34,2.2,3,83.35,44.27,44.27,14.54,3.22,2,17.52,Electricity ,Electricity,352.9,NO,60,327.39,0,,,,44.268,2.46,44.268,2.7,0,0,0,0,0,Grant Support,05/12/2022
1118092,Leitrim,Mid-terrace house,2005,Existing   ,B1,79.64,71.064,0.37,0.13,0.31,2.2,3,33.55,35.53,35.53,10.3,2.53,2,17.11,Electricity ,Electricity,349.31,NO,60,325.83,0,,,,35.532,2.46,35.532,2.7,0,0,0,0,0,Grant Support,05/12/2022
1097030,Leitrim,Detached house,2007,Existing   ,B2,117.22,164.65,0.36,0.15,0.37,2.2,2.91,122.32,119.62,99.61,19.51,5.93,2,26.11,Bulk LPG (propane or butane),Bulk LPG (propane or butane),95,NO,65,95,0,,,,99.61,2.41,65.04,2.21,0,0,0,0,0,Other,05/05/2022
1097039,Leitrim,Semi-detached house,2005,Existing   ,B3,131.15,123.9,0.32,0.13,0.34,2.08,3,108.28,61.95,61.95,15.15,1.85,2,32.24,Heating Oil ,Heating Oil ,85,NO,60,85,0,,,,61.95,2.53,61.95,2.66,0,0,0,0,0,Other,05/05/2022
1154576,Leitrim,Detached house,2002,Existing   ,B3,125.58,219.86,0.54,0.28,0.41,2.8,3,182.57,147.92,124.26,29.32,5.93,2,32.6,Heating Oil ,Heating Oil ,85.2,NO,60,85.2,0,,,,124.26,2.71,95.6,2.41,0,0,0,0,0,Grant Support,05/11/2020
1096959,Leitrim,Semi-detached house,1900,Existing   ,C1,170.77,128.324,1.34,0.32,0.6,2.2,2.86,108.36,64.16,64.16,12.95,3.86,2,43.49,Heating Oil ,Heating Oil ,95,NO,60,95,0,,,,64.162,2.39,64.162,2.62,0,0,0,0,0,Sale,05/05/2022
1123197,Leitrim,Detached house,2003,Existing   ,C1,169.79,137.93,0.55,0.2,0.44,2.9,3,158.71,70.21,70.22,21.98,3.81,2,40.22,Heating Oil ,Heating Oil ,85,NO,60,85,0,,,,70.22,2.51,67.71,2.83,0,0,0,0,0,Private Letting,05/02/2023
1064791,Leitrim,Semi-detached house,2004,Existing   ,C2,177.48,112.02,0.55,0.2,0.41,2.2,3,98.76,56.82,56.82,17.2,3.86,2,43.49,Heating Oil ,Heating Oil ,79,NO,60,79,0,,,,56.82,2.49,55.2,2.78,0,0,0,0,0,Private Letting,05/12/2020
